Hora,Barra_1,Barra_2,Barra_3,Barra_4,Barra_5,Barra_6,Barra_7,Barra_8,Barra_9,Barra_10,Barra_11,Barra_12,Barra_13,Barra_14
1,1.04,1.03,1.016588669131252,1.0266830469837853,1.0302399616526605,1.025,1.023724084658572,1.035,1.01512696873654,1.0140945169246607,1.0179419812094084,1.0200920630950134,1.0177986556462,1.0104766345342713
2,1.04,1.03,1.0146817019594918,1.0277172285537597,1.0311413144061423,1.025,1.02499809884024,1.035,1.0173132574950297,1.0163894471868329,1.019334221226081,1.0212111600353269,1.019306772319456,1.013586489629656
3,1.04,1.03,1.0146816983450386,1.0277172279740532,1.0311413142100174,1.025,1.024998098306704,1.035,1.0173132566507401,1.0163894464255707,1.0193342207719187,1.021211159996136,1.0193067721569553,1.0135864890483162
4,1.04,1.03,1.0146816888358259,1.0277172264489092,1.0311413136940335,1.025,1.0249980969030292,1.035,1.0173132544295083,1.016389444422774,1.019334219577068,1.0212111598930287,1.0193067717294348,1.0135864875188767
5,1.04,1.03,1.0165886044527013,1.0266830373612448,1.030239958799489,1.025,1.0237240753410735,1.035,1.0151269536266339,1.0140945032521702,1.0179419730071477,1.020092062401116,1.0177986526971405,1.0104766240984504
6,1.04,1.03,1.0113371595861083,1.0233940238397854,1.028122493787835,1.025,1.0200637422320917,1.035,1.0090027132943151,1.0079682549318436,1.0142378808896362,1.017923641393204,1.0146020264888405,1.003277760093156
7,1.04,1.03,1.013426037420043,1.021113745007333,1.0262650477368647,1.025,1.0173775803459448,1.035,1.0044935727439177,1.0033092810564488,1.0114261087166958,1.0158136826843371,1.0117087122238961,0.9971657860773968
8,1.04,1.03,1.0174010121051553,1.0172786679023798,1.023072237969555,1.025,1.0130865730401504,1.035,0.9974873575085647,0.9960956387837723,1.0071050683017446,1.0125114145989471,1.0072112437810683,0.9876329521277877
9,1.04,1.03,1.0183302548348134,1.016013073000318,1.0220362755085541,1.025,1.0117299846159389,1.035,0.9953179242669684,0.9938796716531177,1.0057846618647825,1.0115251191824164,1.0058619417055181,0.9847378049145754
10,1.04,1.03,1.0183302937406706,1.0160130760269606,1.022036274857842,1.025,1.0117299892724092,1.035,0.9953179332457242,0.9938796800373264,1.0057846671541375,1.011525119628883,1.0058619437005651,0.9847378113537846
11,1.04,1.03,1.026798354842305,1.0209404976811245,1.0251438965801596,1.025,1.017405394209996,1.035,1.0048262677978468,1.0033479850283469,1.0114946025661,1.01478129793435,1.0107151271683632,0.9957844814545562
12,1.04,1.03,1.0328994675131113,1.0244911914489727,1.027365493339634,1.025,1.0215262031833514,1.035,1.0117548596604926,1.010242551170813,1.0156364885330835,1.017169153159577,1.014263320111558,1.0038381362027784
13,1.04,1.03,1.0310691059506039,1.0272147642258613,1.029590003389993,1.025,1.024353682478932,1.035,1.0162876261437404,1.0148934432741463,1.018418368095769,1.0192729270808247,1.0171257421996438,1.0099268824495415
14,1.04,1.03,1.0300718101007134,1.0283573980581893,1.0305340919242203,1.025,1.0255740851622026,1.035,1.0182740305075033,1.0169435328854692,1.019649300361061,1.0202190701452112,1.0184090694143342,1.0126331208368862
15,1.04,1.03,1.0287376277088145,1.0296504630492074,1.0316122749066134,1.025,1.0269858193673667,1.035,1.020597788585722,1.0193518868224871,1.0210992814817257,1.021346266593571,1.0199347298865205,1.0158311104919966
16,1.04,1.03,1.0287375857549532,1.0296504582152195,1.0316122742813678,1.025,1.0269858138344687,1.035,1.0205977790876641,1.0193518782668143,1.0210992764049953,1.0213462662557269,1.0199347280934854,1.0158311040683712
17,1.04,1.03,1.0246928759533287,1.0277762307998084,1.0304954074711086,1.025,1.024860553108192,1.035,1.0170199425995539,1.0158079318500115,1.018969337915998,1.0201730851241937,1.0181668887199646,1.011778362806104
18,1.04,1.03,1.0129160671275135,1.0236326870302188,1.02819671555873,1.025,1.0202909187897091,1.035,1.009371221487712,1.0083037225174758,1.014441342499428,1.0179422176572797,1.014676212197723,1.0035356089655376
19,1.04,1.03,1.003541612119119,1.019626345469667,1.0257992664085733,1.025,1.0159653913707472,1.035,1.002188667986897,1.0011981253480384,1.0101320430630922,1.0156886428679608,1.0112307409916839,0.995533319399892
20,1.04,1.03,0.9953938288871572,1.015626735179616,1.023263911141573,1.025,1.0117907458262925,1.035,0.9953436952809955,0.994391798524477,1.006001165910505,1.0134168178273746,1.0078217512531604,0.9877080124968454
21,1.04,1.03,0.9961088447458115,1.0113014828841074,1.0197586936817522,1.025,1.0072151496387831,1.035,0.9879658245782028,0.9868392560346287,1.0014846947409402,1.0100558293137254,1.0032112995003082,0.9778511357344424
22,1.04,1.0009156432322106,0.9594504859929659,0.9771398995523143,0.9888572919494459,0.98784485265431,0.9743761034643877,1.0158995664904675,0.9476601236468236,0.9447651346147461,0.9607097288819395,0.9683039922800821,0.9600470841398544,0.9305357920705947
23,1.04,1.000915643232169,0.9594504859929062,0.9771398995522275,0.9888572919493733,0.9878448526542394,0.9743761034642878,1.015899566490373,0.9476601236467163,0.9447651346146418,0.9607097288818487,0.9683039922800076,0.9600470841397747,0.9305357920704956
24,1.04,1.0243557247009125,0.9988974355158029,1.016491678076878,1.0230614732965655,1.025,1.014524036398873,1.035,1.0007338801324632,0.9999772191439983,1.0094893607795385,1.0155848153209102,1.0110053276608064,0.9945956113235984
