Hora,Barra_1,Barra_2,Barra_3,Barra_4,Barra_5,Barra_6,Barra_7,Barra_8,Barra_9,Barra_10,Barra_11,Barra_12,Barra_13,Barra_14
1,1.04,1.03,1.0,1.022680076074133,1.0277512879526813,1.025,1.0219888509833344,1.035,1.0135012034793325,1.0127562118086273,1.0172620667498784,1.0199716105393217,1.0175645661776829,1.009454368117868
2,1.04,1.03,1.0,1.0241860691237334,1.0289466900116704,1.025,1.0234686919931606,1.035,1.0158820841559235,1.0152119967747277,1.0187362762830554,1.0211052914125656,1.0191012124207104,1.0126881118933246
3,1.04,1.03,1.0,1.0241860694212899,1.0289466903614333,1.025,1.0234686918393674,1.035,1.015882083666803,1.015211996305851,1.0187362759776561,1.0211052913997656,1.0191012123094305,1.0126881115353032
4,1.04,1.03,1.0,1.0241860702041252,1.0289466912816183,1.025,1.023468691434754,1.035,1.0158820823799815,1.015211995072289,1.0187362751741849,1.0211052913660894,1.019101212016665,1.012688110593389
5,1.04,1.03,1.0,1.022680082235403,1.0277512949268,1.025,1.021988848504041,1.035,1.0135011947725645,1.012756203410932,1.0172620612333196,1.0199716103222687,1.0175645641549222,1.009454361716082
6,1.04,1.03,1.0,1.0206571181129027,1.0264211453300032,1.025,1.0188750034922438,1.035,1.00788605333252,1.0070483903315615,1.0137707003745384,1.0178408679266957,1.014440861063756,1.002574046161766
7,1.04,1.03,1.0,1.0178540842472736,1.024237531138077,1.025,1.0159591743673824,1.035,1.0031579509991053,1.0022078976003232,1.0108663617755267,1.0157143824195365,1.011515049261407,0.9963214026431725
8,1.04,1.03,1.0,1.013006823804088,1.0204118533089706,1.025,1.011221760577145,1.035,0.9957246011979256,0.9946395263372222,1.0063640868831085,1.0123796363717197,1.0069535984073263,0.9865126079691303
9,1.04,1.03,1.0,1.011497206556303,1.0192227827572622,1.025,1.009756591829914,1.035,0.9934503253878522,0.992336156800242,1.0049989003439925,1.0113852649287516,1.0055883066528466,0.9835489152257204
10,1.04,1.03,1.0,1.0114971998166278,1.01922277600835,1.025,1.0097565922188674,1.035,0.9934503303305617,0.9923361618461086,1.0049989039296068,1.0113852650713349,1.0055883080534844,0.9835489190899303
11,1.04,1.03,1.0,1.0143352444110274,1.0210280791840358,1.025,1.0145285109942748,1.035,1.0021147713881247,1.0011093984309045,1.010354413184889,1.0145785478298615,1.0103194467267207,0.9940644578210154
12,1.04,1.03,1.0,1.0163780293249558,1.0223092316304512,1.025,1.0180007394526425,1.035,1.0084417351157957,1.007509145369132,1.0142434726476257,1.0169215082573224,1.0137809830874907,1.0017413912312012
13,1.04,1.03,1.0,1.0196108870853937,1.0248546951338176,1.025,1.0210559918121667,1.035,1.0131959787497444,1.0123454535034666,1.01712080021058,1.019042502296306,1.0166777240068772,1.0079765549603237
14,1.04,1.03,1.0,1.0210216069600924,1.0259671710313394,1.025,1.0223952851565836,1.035,1.0152970032822743,1.0144911691494654,1.0184008431869798,1.0199974666859914,1.017978543191855,1.0107577753078651
15,1.04,1.03,1.0,1.02266653126131,1.027265955824327,1.025,1.0239623279814365,1.035,1.0177697446723648,1.0170235612892577,1.019914436785556,1.0211360610940179,1.0195267347438535,1.0140526186736067
16,1.04,1.03,1.0,1.0226665368768941,1.0272659617212998,1.025,1.0239623269693343,1.035,1.0177697393997396,1.0170235562178498,1.019914433489813,1.0211360610734441,1.0195267335662124,1.0140526149179128
17,1.04,1.03,1.0,1.021781237128477,1.0267653802678356,1.025,1.0222624438204955,1.035,1.0145863796902268,1.013803869727619,1.01795000127761,1.019992296328943,1.0178156134077827,1.010246574849868
18,1.04,1.03,1.0,1.0205113247312028,1.0262561073111953,1.025,1.0189352673630547,1.035,1.0080978464757204,1.007254697007413,1.0139084602971111,1.0178477847119642,1.0144923526299046,1.00273299784179
19,1.04,1.03,1.0,1.0187721741870128,1.0252684308132247,1.025,1.01559359415841,1.035,1.0018384281118684,1.0009094088789687,1.0099854768639462,1.0156626717043729,1.0111800774254034,0.9953121131306046
20,1.04,1.03,1.0,1.0167368661164133,1.0239536735236112,1.025,1.0122750437500403,1.035,0.9958012482112615,0.9947692897900724,1.006192764269054,1.0134507870788787,1.007888139728907,0.9879977325692929
21,1.04,1.03,1.0,1.0122462006746729,1.0203463172783322,1.025,1.0076286385369184,1.035,0.9883580519336372,0.9871634318358182,1.0016494607322826,1.0100851259638197,1.0032686970598765,0.9781008661184036
22,1.04,1.03,1.0,1.004450607209542,1.0129752667495662,1.012190177246586,0.9984703450370475,1.035,0.9731392326135233,0.9703396597804894,0.9858569844112737,0.993179551493921,0.985173380828322,0.9565046200833295
23,1.04,1.03,1.0,1.0044506072095059,1.0129752667495375,1.012190177246568,0.9984703450370183,1.035,0.9731392326134821,0.9703396597804494,0.9858569844112418,0.993179551493901,0.985173380828298,0.9565046200832941
24,1.04,1.03,1.0,1.0187721732315254,1.0252684296917651,1.025,1.0155935946781103,1.035,1.001838429782455,1.000909410519459,1.0099854779750592,1.0156626717785324,1.0111800778490128,0.9953121144147234
