Hora,Dev_MW_gen-1,Dev_MW_gen-2,Dev_MW_gen-4,Dev_MW_gen-5
1,0.9171034087263266,0.0,0.0,0.0
2,1.0879598533580666,0.0,0.0,0.0
3,1.0879601533733805,0.0,0.0,0.0
4,1.087960942679656,0.0,0.0,0.0
5,0.9171077110433448,0.0,0.0,0.0
6,1.3101743205371363,0.0,0.0,0.0
7,1.2673452844020368,0.0,0.0,0.0
8,1.6368516867018528,0.0,0.0,0.0
9,1.8802224451637883,0.0,0.0,0.0
10,1.8802233378961546,0.0,0.0,0.0
11,1.4296422817717218,0.0,0.0,0.0
12,1.298123128212128,0.0,0.0,0.0
13,0.7374038361214155,0.0,0.0,0.0
14,0.5769977592607232,0.0,0.0,0.0
15,0.4625748546720294,0.0,0.0,0.0
16,0.4625748197690269,0.0,0.0,0.0
17,0.566394757396357,0.0,0.0,0.0
18,1.1904549617526747,0.0,0.0,0.0
19,2.057959469830262,0.0,0.0,0.0
20,3.0853125029467776,0.0,0.0,0.0
21,3.295308113290531,0.0,0.0,0.0
22,79.4614721702067,0.0,0.0,0.0
23,79.46147217038633,0.0,0.0,0.0
24,70.01142884259873,0.0,0.0,0.0
