Hora,gen-1,gen-2,gen-4,gen-5,gen-solar,BESS,Total_Generacion_MW,Modo
0,12.316109920438691,44.17057522858058,30.717640097939853,0.0,-8.881784197001252e-16,-6.618582671693787,80.58574257526534,gen
1,12.51082210427829,44.17052683482508,30.7175986175798,0.0,0.0,-23.71246376134974,63.68648379533343,gen
2,12.510824881967903,44.17053092173989,30.717602120649488,0.0,0.0,-23.71247380348041,63.68648412087687,gen
3,12.510832189753065,44.170541673942424,30.717611336822685,0.0,0.0,-23.712500223170128,63.68648497734806,gen
4,12.316160465805124,44.17065137018638,30.71770536217055,0.0,0.0,-6.6187697624402615,80.58574743572179,gen
5,18.773695643254452,54.230987550856014,39.34085178916059,0.0,0.0,0.0005474872694656921,112.34608247054052,gen
6,19.497827284955616,55.56648875647948,40.48556763032586,0.0,4.5,23.558030205265183,143.60791387702614,gen
7,19.777738004393594,55.56720320181802,40.48618001236087,0.0,18.000000000000014,58.48927471023107,192.32039592880358,gen
8,19.989149975343402,55.566543457242766,40.48561451671813,0.0,40.5,50.23589579762272,206.777203746927,gen
9,19.989116608070734,55.56648756530051,40.485566609314745,0.0,67.5,23.236033132164145,206.77720391485013,gen
10,9.57735135298275,39.14582402855002,26.410710958297447,0.0,85.5,-5.597550645079176e-5,160.63383036432376,gen
11,2.0150984904099776,26.898307975657488,15.912844412859867,0.0,90.0,-8.594354483456303,126.23189639547104,gen
12,1.5595679271786063,26.898211161837494,15.912761429653177,0.0,90.0,-39.933109101631906,94.43743141703735,gen
13,1.4418459157738373,26.89818432822712,15.912738429434478,0.0,85.5,-49.67804532576887,80.07472334766658,gen
14,1.3741708625513298,26.898189416981268,15.912742791220182,0.0,67.5,-48.77205811928581,62.913044951466965,gen
15,1.3742105507284486,26.898242649532744,15.91278841908422,0.0,40.5,-21.772196065461436,62.91304555388398,gen
16,5.866557178615696,34.15141310675247,22.129788362673132,0.0,18.000000000000004,-9.005586902886275e-5,80.14766859217228,gen
17,17.542071039676337,52.39982566491624,37.771283947037524,0.0,4.500000000000001,-2.403701024776024e-5,112.21315661461985,gen
18,27.225091506208138,66.98543641081967,50.273267570772006,0.0,0.0,-1.8532495541268563e-5,144.48377695530425,gen
19,44.90752973442949,71.99998255941412,59.99997540101628,0.0,0.0,-1.2285890151639182e-5,176.90747540896973,gen
20,58.03195724848245,71.99999154449308,59.9999899617774,0.0,0.0,35.51997481557688,225.55191357032982,gen
21,169.98056846564072,0.0,59.99999992219166,2.8999998381323544,0.0,60.000000024597675,292.88056825056236,gen
22,169.98056846582145,0.0,59.99999992219166,2.8999998379504834,0.0,60.00000002461526,292.88056825057885,gen
23,95.20961111269553,0.0,50.27325589426809,0.0,0.0,1.4940006635987201e-5,145.48288194697022,gen
