Hora,gen-1,gen-2,gen-4,gen-5,gen-solar,BESS,Total_Generacion_MW,Modo
0,12.226640369300917,44.0357648001213,30.60208563549664,0.0,0.0,-6.2873170501604365,80.57717375475842,normal
1,12.419240526972036,44.03574608783352,30.602069596392244,0.0,0.0,-23.38127107138376,63.67578513981404,normal
2,12.419241281378802,44.035747198735855,30.602070548594284,0.0,0.0,-23.381273801030165,63.67578522767879,normal
3,12.4192430539286,44.03574980890624,30.602072785883266,0.0,0.0,-23.381280214593176,63.67578543412493,normal
4,12.226647885340789,44.03577613167947,30.602095348261127,0.0,-8.881784197001252e-16,-6.287344893424241,80.57717447185713,normal
5,18.773789117633193,54.2311464719018,39.34098461911928,0.0,0.0,0.00017387214402033748,112.3460940807983,normal
6,19.190429594043543,55.09503946031893,40.08146443999813,0.0,4.5,24.716465200666946,143.58339869502754,normal
7,19.490750135841544,55.09567870008452,40.08201235838885,0.0,18.0,59.64789450034469,192.31633569465959,normal
8,19.708091230189524,55.09505868566037,40.08148091885631,0.0,40.50000000000001,51.39441796126933,206.77904879597554,normal
9,19.708078262615462,55.09503689793714,40.08146224367167,0.0,67.50000000000001,24.394471496803035,206.7790489010273,normal
10,9.57733147193216,39.14581851444849,26.410703270057073,0.0,85.5,-2.2532860959125157e-5,160.63383072357678,normal
11,2.9610920228843733,28.585147939986744,17.35870111829649,0.0,90.00000000000001,-12.738976588196575,126.16596449297106,normal
12,2.5501816947554516,28.58512213659756,17.35867900109483,0.0,90.0,-44.07791318494759,94.41606964750025,normal
13,2.4529380566048027,28.585104976499505,17.3586642924321,0.0,85.5,-53.82287189130536,80.07383543423103,normal
14,2.4100627582816014,28.585108714881063,17.35866749676073,0.0,67.5,-52.91688107713479,62.93695789278861,normal
15,2.410078100641213,28.585133563747227,17.358688795799377,0.0,40.5,-25.916942134961296,62.93695832522652,normal
16,5.866526982373521,34.151406710605094,22.129779248277295,0.0,18.000000000000004,-4.475879490934693e-5,80.147668182461,normal
17,17.54204924293789,52.399825741507875,37.771280950412965,0.0,4.500000000000001,0.0,112.21315593485872,normal
18,27.22506058439913,66.9854551030452,50.273260422680735,0.0,0.0,0.0,144.48377611012506,normal
19,43.551251417486405,71.99999361237204,59.999990311828,0.0,0.0,1.2835652175626315,176.83480055924906,normal
20,43.20667515449771,71.99999361218862,59.999990311444094,0.0,0.0,49.71641861655429,224.9230776946847,normal
21,95.203820961693,72.00000061528105,60.000000608993176,2.8999963302337495,7.105427357601002e-15,60.00000112596215,290.10381964216316,normal
22,95.20382096165007,72.00000061528105,60.000000608993176,2.8999963302555156,0.0,60.000001125980305,290.10381964216015,normal
23,27.225063155813928,66.98544776671243,50.273254134463954,0.0,0.0,1.0627846649605784e-5,144.48377568483696,normal
