Hora,gen-1,gen-2,gen-4,gen-5,gen-solar,BESS,Total_Generacion_MW,Modo
0,12.419470470792975,44.17057522858058,30.717640097939853,0.0,-8.881784197001252e-16,-6.618582671693787,80.68910312561962,gen
1,12.590297879205718,44.17052683482508,30.7175986175798,0.0,0.0,-23.71246376134974,63.76595957026086,gen
2,12.590300631367027,44.17053092173989,30.717602120649488,0.0,0.0,-23.71247380348041,63.76595987027599,gen
3,12.590307871987196,44.170541673942424,30.717611336822685,0.0,0.0,-23.712500223170128,63.76596065958218,gen
4,12.419520458019505,44.17065137018638,30.71770536217055,0.0,0.0,-6.6187697624402615,80.68910742793616,gen
5,18.84878716265807,54.230987550856014,39.34085178916059,0.0,0.0,0.0005474872694656921,112.42117398994415,gen
6,19.607259444020013,55.56648875647948,40.48556763032586,0.0,4.5,23.558030205265183,143.71734603609053,gen
7,19.977194513967454,55.56720320181802,40.48618001236087,0.0,18.000000000000014,58.48927471023107,192.51985243837743,gen
8,20.220169425268328,55.566543457242766,40.48561451671813,0.0,40.5,50.23589579762272,207.00822319685193,gen
9,20.220136782806087,55.56648756530051,40.485566609314745,0.0,67.5,23.236033132164145,207.0082240895855,gen
10,9.917164375094217,39.14582402855002,26.410710958297447,0.0,85.5,-5.597550645079176e-5,160.9736433864352,gen
11,2.4373291163796593,26.898307975657488,15.912844412859867,0.0,90.0,-8.594354483456303,126.65412702144073,gen
12,1.8765442394970484,26.898211161837494,15.912761429653177,0.0,90.0,-39.933109101631906,94.75440772935579,gen
13,1.716121770510452,26.89818432822712,15.912738429434478,0.0,85.5,-49.67804532576887,80.34899920240318,gen
14,1.6017022088975676,26.898189416981268,15.912742791220182,0.0,67.5,-48.77205811928581,63.140576297813205,gen
15,1.601741259752814,26.898242649532744,15.91278841908422,0.0,40.5,-21.772196065461436,63.14057626290835,gen
16,6.057284576906134,34.15141310675247,22.129788362673132,0.0,18.000000000000004,-9.005586902886275e-5,80.33839599046271,gen
17,17.63037019972808,52.39982566491624,37.771283947037524,0.0,4.500000000000001,-2.403701024776024e-5,112.3014557746716,gen
18,27.24927362873302,66.98543641081967,50.273267570772006,0.0,0.0,-1.8532495541268563e-5,144.50795907782916,gen
19,44.87436629750581,71.99998255941412,59.99997540101628,0.0,0.0,-1.2285890151639182e-5,176.87431197204606,gen
20,57.99735114535694,71.99999154449308,59.9999899617774,0.0,0.0,35.51997481557688,225.51730746720432,gen
21,169.46147173415818,0.0,59.99999992219166,2.8999998381323544,0.0,60.000000024597675,292.3614715190798,gen
22,169.4614717343378,0.0,59.99999992219166,2.8999998379504834,0.0,60.00000002461526,292.3614715190952,gen
23,95.20273482792038,0.0,50.27325589426809,0.0,0.0,1.4940006635987201e-5,145.4760056621951,gen
